375)	2.01439
376)	1.96978
377)	2.00057
378)	2.00873
379)	2.0345
380)	1.98297
381)	1.9968
382)	2.00873
383)	1.97606
384)	2.01816
385)	1.99994
386)	2.00685
387)	1.95973
388)	2.00999
389)	2.02884
390)	1.99617
391)	2.0125
392)	1.98737
393)	1.9924
394)	1.99805
395)	1.99051
396)	2.00999
397)	1.98611
398)	2.00057
399)	1.97229
400)	1.99617
401)	2.00999
402)	1.988
403)	2.02444
404)	2.0213
405)	2.03387
406)	1.97858
407)	1.99931
408)	2.00057
409)	1.99114
410)	2.01376
411)	2.01062
412)	2.00999
413)	1.9836
414)	1.98046
415)	2.00811
416)	1.98863
417)	1.99114
418)	2.00308
419)	2.0169
420)	2.00496
421)	2.01188
422)	1.98234
423)	2.00119
424)	2.02256
425)	2.0169
426)	2.02381
427)	1.97858
428)	1.96035
429)	2.00622
430)	2.01816
431)	1.99051
432)	1.98737
433)	1.97229
434)	2.0301
435)	1.9792
436)	2.0301
437)	1.98486
438)	1.97795
439)	2.0125
440)	1.98172
441)	2.00182
442)	2.00559
443)	1.97669
444)	2.00496
445)	2.01062
446)	1.95784
447)	1.97732
448)	2.04581
449)	1.98737
450)	2.00622
451)	2.0213
452)	1.98109
453)	2.01879
454)	1.9924
455)	2.00496
456)	2.02256
457)	1.94967
458)	2.00434
459)	2.00119
460)	1.99365
461)	2.01376
462)	1.9924
463)	2.03261
464)	1.96161
465)	1.99303
466)	1.9968
467)	2.05711
468)	1.97606
469)	2.01125
470)	1.97669
471)	2.03135
472)	2.02004
473)	2.02256
474)	2.00622
475)	2.03324
476)	2.08162
477)	1.96664
478)	2.00936
479)	2.01942
480)	2.01753
481)	2.00936
482)	2.01188
483)	1.96287
484)	2.00119
485)	1.95973
486)	2.00811
487)	1.99177
488)	2.00999
489)	1.99554
490)	1.99303
491)	2.02067
492)	2.00182
493)	2.02067
494)	1.99805
495)	2.01942
496)	2.00873
497)	1.97292
498)	1.98549
499)	1.96224
500)	2.04329
501)	1.99994
502)	2.00811
503)	2.04958
504)	1.99365
505)	1.99617
506)	2.01062
507)	2.03889
508)	2.00936
509)	1.96412
510)	1.99931
511)	2.01627
512)	1.99805
513)	2.00119
514)	2.0125
515)	2.00308
516)	2.00559
517)	2.02004
518)	1.98674
519)	2.03827
520)	2.01313
521)	1.9968
522)	1.99051
523)	2.00182
524)	1.98737
525)	1.99365
526)	2.00245
527)	1.96915
528)	2.01062
